Gene_name	Gene_ID	First_design	Original_name	Type
MAP3K13	ENSG00000073803	IMPACT-341	MAP3K13	Oncogene
MAP3K14	ENSG00000006062	IMPACT-410	MAP3K14	Oncogene
MAPK1	ENSG00000100030	IMPACT-341	MAPK1	Oncogene
MAPK3	ENSG00000102882	IMPACT-410	MAPK3	Oncogene
MAPKAP1	ENSG00000119487	IMPACT-468	MAPKAP1	Others
MAX	ENSG00000125952	IMPACT-341	MAX	Suppressor
MCL1	ENSG00000143384	IMPACT-341	MCL1	Oncogene
MDC1	ENSG00000137337	IMPACT-341	MDC1	Others
MDM2	ENSG00000135679	IMPACT-341	MDM2	Oncogene
MDM4	ENSG00000198625	IMPACT-341	MDM4	Oncogene
MED12	ENSG00000184634	IMPACT-341	MED12	Others
MEF2B	ENSG00000213999	IMPACT-341	MEF2B	Oncogene
MEN1	ENSG00000133895	IMPACT-341	MEN1	Suppressor
MET	ENSG00000105976	IMPACT-341	MET	Oncogene
MGA	ENSG00000174197	IMPACT-410	MGA	Suppressor
MITF	ENSG00000187098	IMPACT-341	MITF	Others
MLH1	ENSG00000076242	IMPACT-341	MLH1	Suppressor
KMT2A	ENSG00000118058	IMPACT-341	MLL	Suppressor
KMT2D	ENSG00000167548	IMPACT-341	MLL2	Suppressor
KMT2C	ENSG00000055609	IMPACT-341	MLL3	Suppressor
MPL	ENSG00000117400	IMPACT-341	MPL	Oncogene
MRE11	ENSG00000020922	IMPACT-341	MRE11A	Suppressor
MSH2	ENSG00000095002	IMPACT-341	MSH2	Suppressor
MSH3	ENSG00000113318	IMPACT-468	MSH3	Suppressor
MSH6	ENSG00000116062	IMPACT-341	MSH6	Suppressor
MSI1	ENSG00000135097	IMPACT-468	MSI1	Oncogene
MSI2	ENSG00000153944	IMPACT-468	MSI2	Oncogene
MST1	ENSG00000173531	IMPACT-410	MST1	Suppressor
MST1R	ENSG00000164078	IMPACT-410	MST1R	Oncogene
MTOR	ENSG00000198793	IMPACT-341	MTOR	Oncogene
MUTYH	ENSG00000132781	IMPACT-341	MUTYH	Suppressor
MYC	ENSG00000136997	IMPACT-341	MYC	Oncogene
MYCL	ENSG00000116990	IMPACT-341	MYCL1	Oncogene
MYCN	ENSG00000134323	IMPACT-341	MYCN	Oncogene
MYD88	ENSG00000172936	IMPACT-341	MYD88	Oncogene
MYOD1	ENSG00000129152	IMPACT-341	MYOD1	Suppressor
NBN	ENSG00000104320	IMPACT-341	NBN	Suppressor
NCOA3	ENSG00000124151	IMPACT-410	NCOA3	Oncogene
NCOR1	ENSG00000141027	IMPACT-341	NCOR1	Suppressor
NEGR1	ENSG00000172260	IMPACT-410	NEGR1	Others
NF1	ENSG00000196712	IMPACT-341	NF1	Suppressor
NF2	ENSG00000186575	IMPACT-341	NF2	Suppressor
NFE2L2	ENSG00000116044	IMPACT-341	NFE2L2	Oncogene
NFKBIA	ENSG00000100906	IMPACT-410	NFKBIA	Suppressor
NKX2-1	ENSG00000136352	IMPACT-341	NKX2-1	Oncogene
NKX3-1	ENSG00000167034	IMPACT-341	NKX3-1	Suppressor
NOTCH1	ENSG00000148400	IMPACT-341	NOTCH1	Others
NOTCH2	ENSG00000134250	IMPACT-341	NOTCH2	Others
NOTCH3	ENSG00000074181	IMPACT-341	NOTCH3	Others
NOTCH4	ENSG00000204301	IMPACT-341	NOTCH4	Others
NPM1	ENSG00000181163	IMPACT-341	NPM1	Suppressor
NRAS	ENSG00000213281	IMPACT-341	NRAS	Oncogene
NSD1	ENSG00000165671	IMPACT-341	NSD1	Others
NTHL1	ENSG00000065057	IMPACT-468	NTHL1	Suppressor
NTRK1	ENSG00000198400	IMPACT-341	NTRK1	Oncogene
NTRK2	ENSG00000148053	IMPACT-341	NTRK2	Oncogene
NTRK3	ENSG00000140538	IMPACT-341	NTRK3	Oncogene
NUF2	ENSG00000143228	IMPACT-468	NUF2	Oncogene
NUP93	ENSG00000102900	IMPACT-410	NUP93	Others
PAK1	ENSG00000149269	IMPACT-341	PAK1	Oncogene
PAK5	ENSG00000101349	IMPACT-341	PAK7	Oncogene
PALB2	ENSG00000083093	IMPACT-341	PALB2	Suppressor
PRKN	ENSG00000185345	IMPACT-341	PARK2	Suppressor
PARP1	ENSG00000143799	IMPACT-341	PARP1	Suppressor
PAX5	ENSG00000196092	IMPACT-341	PAX5	Suppressor
PBRM1	ENSG00000163939	IMPACT-341	PBRM1	Suppressor
PDCD1	ENSG00000188389	IMPACT-341	PDCD1	Oncogene
PDCD1LG2	ENSG00000197646	IMPACT-468	PDCD1LG2	Oncogene
PDGFRA	ENSG00000134853	IMPACT-341	PDGFRA	Oncogene
PDGFRB	ENSG00000113721	IMPACT-341	PDGFRB	Oncogene
PDPK1	ENSG00000140992	IMPACT-341	PDPK1	Others
PGR	ENSG00000082175	IMPACT-410	PGR	Oncogene
PHOX2B	ENSG00000109132	IMPACT-341	PHOX2B	Suppressor
PIK3C2G	ENSG00000139144	IMPACT-341	PIK3C2G	Others
PIK3C3	ENSG00000078142	IMPACT-341	PIK3C3	Others
PIK3CA	ENSG00000121879	IMPACT-341	PIK3CA	Oncogene
PIK3CB	ENSG00000051382	IMPACT-341	PIK3CB	Oncogene
PIK3CD	ENSG00000171608	IMPACT-341	PIK3CD	Oncogene
PIK3CG	ENSG00000105851	IMPACT-341	PIK3CG	Oncogene
PIK3R1	ENSG00000145675	IMPACT-341	PIK3R1	Suppressor
PIK3R2	ENSG00000105647	IMPACT-341	PIK3R2	Suppressor
PIK3R3	ENSG00000117461	IMPACT-341	PIK3R3	Suppressor
PIM1	ENSG00000137193	IMPACT-341	PIM1	Others
PLCG2	ENSG00000197943	IMPACT-410	PLCG2	Oncogene
PLK2	ENSG00000145632	IMPACT-341	PLK2	Others
PMAIP1	ENSG00000141682	IMPACT-341	PMAIP1	Suppressor
PMS1	ENSG00000064933	IMPACT-341	PMS1	Suppressor
PMS2	ENSG00000122512	IMPACT-341	PMS2	Suppressor
PNRC1	ENSG00000146278	IMPACT-341	PNRC1	Others
POLD1	ENSG00000062822	IMPACT-410	POLD1	Suppressor
POLE	ENSG00000177084	IMPACT-341	POLE	Suppressor
PPARG	ENSG00000132170	IMPACT-468	PPARG	Oncogene
PPM1D	ENSG00000170836	IMPACT-410	PPM1D	Oncogene
