Gene_name	Basic_transcript
snoU13	ENST00000459253;ENST00000607349;ENST00000458803;ENST00000459258;ENST00000458798;ENST00000458906;ENST00000458849;ENST00000459464;ENST00000459565;ENST00000459201;ENST00000459072;ENST00000459008;ENST00000459207;ENST00000458796;ENST00000459356;ENST00000458879;ENST00000459362;ENST00000459015;ENST00000458933;ENST00000459166;ENST00000459606;ENST00000459350;ENST00000459345;ENST00000459311;ENST00000458929;ENST00000458994;ENST00000458873;ENST00000458777;ENST00000459393;ENST00000459496;ENST00000516008;ENST00000459202;ENST00000459580;ENST00000458934;ENST00000458967;ENST00000459582;ENST00000459217;ENST00000459443;ENST00000459434;ENST00000459357;ENST00000458942;ENST00000459532;ENST00000459395;ENST00000516829;ENST00000459409;ENST00000459489;ENST00000459017;ENST00000458916;ENST00000459048;ENST00000459138;ENST00000459315;ENST00000459127;ENST00000458947;ENST00000459058;ENST00000458983;ENST00000459231;ENST00000459218;ENST00000459589;ENST00000459211;ENST00000459152;ENST00000459454;ENST00000459481;ENST00000458824;ENST00000459403;ENST00000459478;ENST00000458817;ENST00000459555;ENST00000459010;ENST00000459114;ENST00000458895;ENST00000458959;ENST00000459490;ENST00000459359;ENST00000458927;ENST00000458755;ENST00000459000;ENST00000458880;ENST00000458863;ENST00000459157;ENST00000459087;ENST00000458978;ENST00000459047;ENST00000458924;ENST00000459385;ENST00000459513;ENST00000459620;ENST00000458869;ENST00000459212;ENST00000459149;ENST00000459040;ENST00000459242;ENST00000458986;ENST00000458821;ENST00000458917;ENST00000459453;ENST00000458918;ENST00000516129;ENST00000459492;ENST00000459156;ENST00000458956;ENST00000459308;ENST00000459245;ENST00000458782;ENST00000459246;ENST00000459410;ENST00000459366;ENST00000459192;ENST00000458897;ENST00000516626;ENST00000459112;ENST00000459132;ENST00000607291;ENST00000459413;ENST00000458788;ENST00000459193;ENST00000606657;ENST00000459278;ENST00000459417;ENST00000459452;ENST00000459180;ENST00000458965;ENST00000459186;ENST00000459431;ENST00000458842;ENST00000459305;ENST00000459312;ENST00000459377;ENST00000459598;ENST00000459266;ENST00000459071;ENST00000459458;ENST00000459111;ENST00000459422;ENST00000458772;ENST00000458860;ENST00000459599;ENST00000459515;ENST00000459352;ENST00000516579;ENST00000459437;ENST00000458784;ENST00000459504;ENST00000459026;ENST00000458972;ENST00000459057;ENST00000459537;ENST00000459441;ENST00000459264;ENST00000458977;ENST00000458751;ENST00000459230;ENST00000459129;ENST00000458747;ENST00000459544;ENST00000459419;ENST00000458753;ENST00000459203;ENST00000459005;ENST00000516486;ENST00000459089;ENST00000459045;ENST00000459094;ENST00000459407;ENST00000458810;ENST00000459561;ENST00000516578;ENST00000459518;ENST00000459140;ENST00000516859;ENST00000459550;ENST00000515953;ENST00000459459;ENST00000459328;ENST00000458807;ENST00000459302;ENST00000459226;ENST00000459447;ENST00000458756;ENST00000459178;ENST00000459013;ENST00000459219;ENST00000458799;ENST00000459146;ENST00000459078;ENST00000459439;ENST00000458794;ENST00000459131;ENST00000459116;ENST00000459557;ENST00000459375;ENST00000458970;ENST00000459301;ENST00000458767;ENST00000516800;ENST00000459251;ENST00000459068;ENST00000459143;ENST00000458839;ENST00000459324;ENST00000458937;ENST00000459368;ENST00000516897;ENST00000459167;ENST00000459429;ENST00000459440;ENST00000458988;ENST00000516456;ENST00000459364;ENST00000459018;ENST00000459554;ENST00000459484;ENST00000459044;ENST00000459298;ENST00000459139;ENST00000458831;ENST00000459130;ENST00000459605;ENST00000459210;ENST00000459205;ENST00000458779;ENST00000458991;ENST00000458968;ENST00000458815;ENST00000459596;ENST00000458808;ENST00000459593;ENST00000458812;ENST00000458859;ENST00000459495;ENST00000459268;ENST00000459183;ENST00000459488;ENST00000459347;ENST00000459528;ENST00000458801;ENST00000458820;ENST00000459225;ENST00000459507;ENST00000459247;ENST00000459098;ENST00000459102;ENST00000459148;ENST00000458773;ENST00000459519;ENST00000516301;ENST00000458923;ENST00000458746;ENST00000459319;ENST00000459030;ENST00000459310;ENST00000459355;ENST00000459125;ENST00000459573;ENST00000459065;ENST00000459142;ENST00000459043;ENST00000458976;ENST00000459497;ENST00000459401;ENST00000606918;ENST00000458754;ENST00000459622;ENST00000459384;ENST00000459569;ENST00000458804;ENST00000458874;ENST00000459340;ENST00000458829;ENST00000459369;ENST00000516117;ENST00000459444;ENST00000459292;ENST00000458840;ENST00000458776;ENST00000458964;ENST00000459510;ENST00000458914;ENST00000458966;ENST00000458910;ENST00000458786;ENST00000458785;ENST00000516638;ENST00000459327;ENST00000459530;ENST00000459039;ENST00000459034;ENST00000459046;ENST00000459069;ENST00000458907;ENST00000459289;ENST00000459243;ENST00000459511;ENST00000516870;ENST00000459415;ENST00000459372;ENST00000458951;ENST00000459137;ENST00000458998;ENST00000459062;ENST00000459525;ENST00000459162;ENST00000458765;ENST00000459531;ENST00000459425;ENST00000459527;ENST00000459220;ENST00000458789;ENST00000458887;ENST00000458955;ENST00000459090;ENST00000459190;ENST00000459521;ENST00000459038;ENST00000458958;ENST00000459085;ENST00000459574;ENST00000605937;ENST00000459586;ENST00000459050;ENST00000459056;ENST00000458989;ENST00000459621;ENST00000459206;ENST00000458837;ENST00000459558;ENST00000459016;ENST00000459611;ENST00000459449;ENST00000459402;ENST00000459616;ENST00000459208;ENST00000459526;ENST00000459093;ENST00000459438;ENST00000458749;ENST00000459335;ENST00000458957;ENST00000458969;ENST00000459196;ENST00000458931;ENST00000458912;ENST00000459024;ENST00000459119;ENST00000459608;ENST00000459185;ENST00000459314;ENST00000459610;ENST00000459027;ENST00000459502;ENST00000459277;ENST00000459182;ENST00000459592;ENST00000459436;ENST00000459428;ENST00000458913;ENST00000458787;ENST00000459019;ENST00000459325;ENST00000459209;ENST00000458877;ENST00000458946;ENST00000605889;ENST00000459248;ENST00000459321;ENST00000459388;ENST00000459269;ENST00000459105;ENST00000458935;ENST00000458764;ENST00000458995;ENST00000458775;ENST00000459406;ENST00000459570;ENST00000458876;ENST00000459074;ENST00000458973;ENST00000459559;ENST00000459097;ENST00000458921;ENST00000459578;ENST00000458872;ENST00000459361;ENST00000459379;ENST00000459272;ENST00000459533;ENST00000459614;ENST00000459563;ENST00000459263;ENST00000516051;ENST00000459145;ENST00000458745;ENST00000459354;ENST00000459235;ENST00000459539;ENST00000516279;ENST00000459483;ENST00000459233;ENST00000459088;ENST00000459173;ENST00000459293;ENST00000459275;ENST00000459036;ENST00000458925;ENST00000459591;ENST00000459147;ENST00000459517;ENST00000458894;ENST00000459060;ENST00000459594;ENST00000458971;ENST00000459256;ENST00000459476;ENST00000459133;ENST00000459603;ENST00000459168;ENST00000458996;ENST00000458827;ENST00000459022;ENST00000459344;ENST00000459333;ENST00000515900;ENST00000516262;ENST00000459165;ENST00000459287;ENST00000459370;ENST00000516249;ENST00000459110;ENST00000458846;ENST00000459122;ENST00000459416;ENST00000459376;ENST00000459023;ENST00000459184;ENST00000459290;ENST00000459411;ENST00000459446;ENST00000516962;ENST00000515928;ENST00000606583;ENST00000516593;ENST00000516990;ENST00000459485;ENST00000459049;ENST00000459547;ENST00000459462;ENST00000459164;ENST00000458891;ENST00000516039;ENST00000458802;ENST00000458766;ENST00000459244;ENST00000459471;ENST00000459524;ENST00000459223;ENST00000459609;ENST00000516716;ENST00000459560;ENST00000605987;ENST00000459499;ENST00000458905;ENST00000458945;ENST00000458890;ENST00000458936;ENST00000459572
AL591163.1	ENST00000641757
CAMTA1-DT	ENST00000442889
CAMTA1	ENST00000303635;ENST00000473578;ENST00000557126;ENST00000467404;ENST00000476864
AL590128.1	ENST00000433407
AL512330.1	ENST00000456701
RNU1-8P	ENST00000384328
CAMTA1-IT1	ENST00000427317
CAMTA1-AS2	ENST00000618051;ENST00000411708
CAMTA1-AS1	ENST00000440032
